DateTime,,,,,Ident,Secs,TX,RX
20180424184550,,,,,-1,41.0-42.0,2621440,20971520
20180424184551,,,,,4,42.0-43.0,917504,7340032
20180424184551,,,,,6,42.0-43.0,786432,6291456
20180424184551,,,,,5,42.0-43.0,524288,4194304
20180424184551,,,,,3,42.0-43.0,393216,3145728
20180424184551,,,,,7,42.0-43.0,393216,3145728
20180424184551,,,,,-1,42.0-43.0,3014656,24117248
20180424184552,,,,,4,43.0-44.0,655360,5242880
20180424184552,,,,,6,43.0-44.0,524288,4194304
20180424184552,,,,,3,43.0-44.0,393216,3145728
20180424184552,,,,,7,43.0-44.0,393216,3145728
20180424184552,,,,,5,43.0-44.0,524288,4194304
20180424184552,,,,,-1,43.0-44.0,2490368,19922944
20180424184553,,,,,4,44.0-45.0,655360,5242880
20180424184553,,,,,5,44.0-45.0,393216,3145728
20180424184553,,,,,6,44.0-45.0,655360,5242880
20180424184553,,,,,3,44.0-45.0,393216,3145728
20180424184553,,,,,7,44.0-45.0,393216,3145728
20180424184553,,,,,-1,44.0-45.0,2490368,19922944
20180424184554,,,,,7,45.0-46.0,393216,3145728
20180424184554,,,,,3,45.0-46.0,524288,4194304
20180424184554,,,,,4,45.0-46.0,786432,6291456
20180424184554,,,,,6,45.0-46.0,524288,4194304
20180424184554,,,,,5,45.0-46.0,524288,4194304
20180424184554,,,,,-1,45.0-46.0,2752512,22020096
20180424184555,,,,,3,46.0-47.0,524288,4194304
20180424184555,,,,,4,46.0-47.0,655360,5242880
20180424184555,,,,,5,46.0-47.0,393216,3145728
20180424184555,,,,,6,46.0-47.0,393216,3145728
20180424184555,,,,,7,46.0-47.0,524288,4194304
20180424184555,,,,,-1,46.0-47.0,2490368,19922944
20180424184556,,,,,3,47.0-48.0,524288,4194304
20180424184556,,,,,5,47.0-48.0,524288,4194304
20180424184556,,,,,4,47.0-48.0,655360,5242880
20180424184556,,,,,6,47.0-48.0,524288,4194304
20180424184556,,,,,7,47.0-48.0,524288,4194304
20180424184556,,,,,-1,47.0-48.0,2752512,22020096
20180424184557,,,,,5,48.0-49.0,393216,3145728
20180424184557,,,,,4,48.0-49.0,524288,4194304
20180424184557,,,,,3,48.0-49.0,655360,5242880
20180424184557,,,,,6,48.0-49.0,393216,3145728
20180424184557,,,,,7,48.0-49.0,393216,3145728
20180424184557,,,,,-1,48.0-49.0,2359296,18874368
20180424184558,,,,,4,49.0-50.0,524288,4194304
20180424184558,,,,,3,49.0-50.0,393216,3145728
20180424184558,,,,,5,49.0-50.0,524288,4194304
20180424184558,,,,,7,49.0-50.0,262144,2097152
20180424184558,,,,,6,49.0-50.0,393216,3145728
20180424184558,,,,,-1,49.0-50.0,2097152,16777216
20180424184559,,,,,4,50.0-51.0,786432,6291456
20180424184559,,,,,5,50.0-51.0,524288,4194304
20180424184559,,,,,3,50.0-51.0,655360,5242880
20180424184559,,,,,7,50.0-51.0,524288,4194304
20180424184559,,,,,6,50.0-51.0,524288,4194304
20180424184559,,,,,-1,50.0-51.0,3014656,24117248
20180424184600,,,,,4,51.0-52.0,524288,4194304
20180424184600,,,,,5,51.0-52.0,524288,4194304
20180424184600,,,,,3,51.0-52.0,524288,4194304
20180424184600,,,,,6,51.0-52.0,262144,2097152
20180424184600,,,,,7,51.0-52.0,393216,3145728
20180424184600,,,,,-1,51.0-52.0,2228224,17825792
20180424184601,,,,,7,52.0-53.0,262144,2097152
20180424184601,,,,,3,52.0-53.0,524288,4194304
20180424184601,,,,,5,52.0-53.0,393216,3145728
20180424184601,,,,,4,52.0-53.0,524288,4194304
20180424184601,,,,,6,52.0-53.0,393216,3145728
20180424184601,,,,,-1,52.0-53.0,2097152,16777216
20180424184602,,,,,3,53.0-54.0,655360,5242880
20180424184602,,,,,5,53.0-54.0,655360,5242880
20180424184602,,,,,4,53.0-54.0,524288,4194304
20180424184602,,,,,7,53.0-54.0,655360,5242880
20180424184602,,,,,6,53.0-54.0,524288,4194304
20180424184602,,,,,-1,53.0-54.0,3014656,24117248
20180424184603,,,,,4,54.0-55.0,524288,4194304
20180424184603,,,,,6,54.0-55.0,393216,3145728
20180424184603,,,,,3,54.0-55.0,524288,4194304
20180424184603,,,,,7,54.0-55.0,393216,3145728
20180424184603,,,,,5,54.0-55.0,524288,4194304
20180424184603,,,,,-1,54.0-55.0,2359296,18874368
20180424184604,,,,,5,55.0-56.0,393216,3145728
20180424184604,,,,,6,55.0-56.0,524288,4194304
20180424184604,,,,,3,55.0-56.0,524288,4194304
20180424184604,,,,,7,55.0-56.0,393216,3145728
20180424184604,,,,,4,55.0-56.0,524288,4194304
20180424184604,,,,,-1,55.0-56.0,2359296,18874368
20180424184605,,,,,3,56.0-57.0,655360,5242880
20180424184605,,,,,5,56.0-57.0,655360,5242880
20180424184605,,,,,4,56.0-57.0,393216,3145728
20180424184605,,,,,7,56.0-57.0,524288,4194304
20180424184605,,,,,6,56.0-57.0,655360,5242880
20180424184605,,,,,-1,56.0-57.0,2883584,23068672
20180424184606,,,,,6,57.0-58.0,393216,3145728
20180424184606,,,,,3,57.0-58.0,524288,4194304
20180424184606,,,,,5,57.0-58.0,524288,4194304
20180424184606,,,,,4,57.0-58.0,393216,3145728
20180424184606,,,,,7,57.0-58.0,393216,3145728
20180424184606,,,,,-1,57.0-58.0,2228224,17825792
20180424184607,,,,,3,58.0-59.0,524288,4194304
20180424184607,,,,,4,58.0-59.0,393216,3145728
20180424184607,,,,,5,58.0-59.0,655360,5242880
20180424184607,,,,,7,58.0-59.0,262144,2097152
20180424184607,,,,,6,58.0-59.0,524288,4194304
20180424184607,,,,,-1,58.0-59.0,2359296,18874368
20180424184608,,,,,5,59.0-60.0,655360,5242880
20180424184608,,,,,6,59.0-60.0,524288,4194304
20180424184608,,,,,4,59.0-60.0,655360,5242880
20180424184608,,,,,7,59.0-60.0,524288,4194304
20180424184608,,,,,3,59.0-60.0,786432,6291456
20180424184608,,,,,-1,59.0-60.0,3145728,25165824
20180424184609,,,,,4,60.0-61.0,393216,3145728
20180424184609,,,,,6,60.0-61.0,393216,3145728
20180424184609,,,,,3,60.0-61.0,393216,3145728
20180424184609,,,,,5,60.0-61.0,655360,5242880
20180424184609,,,,,7,60.0-61.0,393216,3145728
